invoice_id,full_date,month_name,day_part,branch_code,city,customer_type,gender,product_line_name,payment_name,unit_price,quantity,total,gross_income,rating
676-10-2200,2019-02-03,February,Evening,B,Mandalay,Member,Male,Fashion accessories,Ewallet,53.78,1,56.4690,2.6890,4.7
522-57-8364,2019-01-31,January,Morning,A,Yangon,Member,Male,Fashion accessories,Ewallet,51.34,8,431.2560,20.5360,7.6
288-62-1085,2019-01-09,January,Afternoon,A,Yangon,Member,Male,Fashion accessories,Ewallet,38.54,5,202.3350,9.6350,5.6
474-33-8305,2019-03-23,March,Afternoon,C,Naypyitaw,Member,Male,Fashion accessories,Ewallet,67.39,7,495.3165,23.5865,6.9
756-49-0168,2019-02-08,February,Morning,A,Yangon,Member,Male,Fashion accessories,Ewallet,19.70,1,20.6850,0.9850,9.5
735-32-9839,2019-01-31,January,Morning,C,Naypyitaw,Member,Male,Fashion accessories,Ewallet,98.70,8,829.0800,39.4800,8.5
105-10-6182,2019-02-27,February,Afternoon,A,Yangon,Member,Male,Fashion accessories,Ewallet,21.48,2,45.1080,2.1480,6.6
588-47-8641,2019-01-14,January,Evening,A,Yangon,Member,Male,Fashion accessories,Ewallet,56.04,10,588.4200,28.0200,4.4
339-96-8318,2019-03-01,March,Evening,B,Mandalay,Member,Male,Fashion accessories,Ewallet,81.31,7,597.6285,28.4585,6.3
339-38-9982,2019-01-13,January,Afternoon,B,Mandalay,Member,Male,Fashion accessories,Ewallet,59.86,2,125.7060,5.9860,6.7
595-86-2894,2019-02-06,February,Evening,C,Naypyitaw,Member,Male,Fashion accessories,Ewallet,96.98,4,407.3160,19.3960,9.4
181-94-6432,2019-02-05,February,Evening,C,Naypyitaw,Member,Male,Fashion accessories,Ewallet,69.33,2,145.5930,6.9330,9.7
604-70-6476,2019-01-23,January,Afternoon,A,Yangon,Member,Male,Fashion accessories,Ewallet,17.94,5,94.1850,4.4850,6.8
659-65-8956,2019-01-16,January,Afternoon,B,Mandalay,Member,Male,Fashion accessories,Ewallet,51.36,1,53.9280,2.5680,5.2
291-32-1427,2019-03-05,March,Afternoon,B,Mandalay,Member,Male,Fashion accessories,Ewallet,21.94,5,115.1850,5.4850,5.3
690-01-6631,2019-02-22,February,Evening,B,Mandalay,Normal,Male,Fashion accessories,Ewallet,17.49,10,183.6450,8.7450,6.6
781-84-8059,2019-01-18,January,Afternoon,C,Naypyitaw,Normal,Male,Fashion accessories,Ewallet,60.74,7,446.4390,21.2590,5.0
584-66-4073,2019-03-13,March,Afternoon,C,Naypyitaw,Normal,Male,Fashion accessories,Ewallet,56.50,1,59.3250,2.8250,9.6
605-83-1050,2019-03-15,March,Afternoon,B,Mandalay,Normal,Male,Fashion accessories,Ewallet,27.18,2,57.0780,2.7180,4.3
210-74-9613,2019-03-16,March,Afternoon,C,Naypyitaw,Normal,Male,Fashion accessories,Ewallet,97.26,4,408.4920,19.4520,6.8
760-27-5490,2019-01-20,January,Evening,C,Naypyitaw,Normal,Male,Fashion accessories,Ewallet,15.62,8,131.2080,6.2480,9.1
