day_part,day_name,is_weekend,cnt,revenue
Morning,Sunday,t,22,8804.1135
Afternoon,Friday,f,68,20938.2285
Morning,Wednesday,f,22,8182.2930
Afternoon,Sunday,t,59,19486.9605
Morning,Saturday,t,28,8782.9035
Evening,Wednesday,f,50,14278.0470
Morning,Tuesday,f,36,9809.3520
Evening,Tuesday,f,60,18166.4805
Morning,Thursday,f,33,11288.1195
Afternoon,Monday,f,64,20321.4165
Evening,Thursday,f,44,14788.4940
Evening,Friday,f,42,14667.1350
Afternoon,Wednesday,f,71,21270.7950
Morning,Monday,f,21,6611.0520
Morning,Friday,f,29,8320.9770
Evening,Sunday,t,52,16166.8185
Afternoon,Tuesday,f,62,23506.4130
Afternoon,Thursday,f,61,19272.6345
Evening,Saturday,t,67,24111.0135
Evening,Monday,f,40,10966.6095
Afternoon,Saturday,t,69,23226.8925
